dataset,n,entries,file_bytes,object_type,encoded_bytes,max_value
lat,1,1,20,set,1,
lat,2,1,20,set,1,
lat,3,1,20,set,1,
lat,4,2,26,set,2,
lat,5,5,41,set,2,
lat,6,15,106,set,3,
lat,7,53,387,set,4,
lat,8,222,1792,set,5,
lat,9,1078,9720,set,6,
lat,10,5994,59966,set,7,
lat,11,37622,451608,set,9,
lat,12,262776,3417096,set,10,
extlat,1,1,21,dict,1,1
extlat,2,1,21,dict,1,1
extlat,3,1,21,dict,1,2
extlat,4,2,30,dict,2,6
extlat,5,5,51,dict,2,22
extlat,6,15,136,dict,3,94
extlat,7,53,494,dict,4,451
extlat,8,222,2241,dict,5,2386
extlat,9,1078,11892,dict,6,13775
extlat,10,5994,72079,dict,7,86417
extlat,11,37622,527539,dict,9,590489
extlat,12,262776,3947349,dict,10,4446029
reslat,1,1,21,set,2,
reslat,2,1,22,set,3,
reslat,3,2,30,set,4,
reslat,4,7,86,set,7,
reslat,5,26,354,set,10,
reslat,6,129,2209,set,14,
reslat,7,723,15199,set,18,
reslat,8,4712,122545,set,23,
reslat,9,34698,1110564,set,29,
reslat,10,290565,11043578,set,35,
reslat,11,2779183,125085972,set,42,
reslat,12,30653419,1594257882,set,49,
